Timestamp,Player,Black_Card,Selected_card,Ignored_card
2018-05-31T23:14:31,solex,BXjpMKJm4R0yHvyLkxbOEXA,WpthWgkh8Qg2Yw4vbsj0luw,WWiO4IeVhRoCbykwOfdJtyg
2018-05-31T23:14:31,solex,BXjpMKJm4R0yHvyLkxbOEXA,WpthWgkh8Qg2Yw4vbsj0luw,WAY2yzDXiRPWIXgy1CbjSUw
2018-05-31T23:14:31,solex,BXjpMKJm4R0yHvyLkxbOEXA,WpthWgkh8Qg2Yw4vbsj0luw,WZV2MY6wdQs2g6z3Oj2LB2Q
2018-05-31T23:14:31,solex,BXjpMKJm4R0yHvyLkxbOEXA,WpthWgkh8Qg2Yw4vbsj0luw,WbOY8hibaR8udkOHe_eHYZA
2018-05-31T23:14:39,solex,BEdp3bKBHQhKzFcd6EJ4oWg,W687bczJfTq-aH4E9ar1Qnw,W3_N2tO7IReW2Gh74TxdpQg
2018-05-31T23:14:39,solex,BEdp3bKBHQhKzFcd6EJ4oWg,W687bczJfTq-aH4E9ar1Qnw,Wxiyjdx7EQKiORKpFU2GbrQ
2018-05-31T23:14:39,solex,BEdp3bKBHQhKzFcd6EJ4oWg,W687bczJfTq-aH4E9ar1Qnw,W3IkgaD2VTiuF9vZ4zqaXnw
2018-05-31T23:14:39,solex,BEdp3bKBHQhKzFcd6EJ4oWg,W687bczJfTq-aH4E9ar1Qnw,WDYlLULicQ4yHehgRUaL5Vg
2018-05-31T23:15:01,solex,BcofQNaGDShatmB0yLYEcqw,WO3n2xwpuRlyr_H8Hl7JVFg,WalAkS9-bTt-x2d7Y6RfDVA
2018-05-31T23:15:01,solex,BcofQNaGDShatmB0yLYEcqw,WO3n2xwpuRlyr_H8Hl7JVFg,Wh0hg4KVISLatxatpxZEDCw
2018-05-31T23:15:01,solex,BcofQNaGDShatmB0yLYEcqw,WO3n2xwpuRlyr_H8Hl7JVFg,W5E40nFRzRD6zSiHP-9T1yA
2018-05-31T23:15:01,solex,BcofQNaGDShatmB0yLYEcqw,WO3n2xwpuRlyr_H8Hl7JVFg,WU_3s1uxeRVmvqP4rEd1V0g
2018-05-31T23:15:18,solex,Bm97gSReLQ62t16QIE7-erg,WSeQJoU4wRRaRrPA2QDo9Mw,WmavTY8jYQ_6dBJLgsOvBFg
2018-05-31T23:15:18,solex,Bm97gSReLQ62t16QIE7-erg,WSeQJoU4wRRaRrPA2QDo9Mw,WONBc9k5XTMG6tnKaCp-0pw
2018-05-31T23:15:18,solex,Bm97gSReLQ62t16QIE7-erg,WSeQJoU4wRRaRrPA2QDo9Mw,WIbSsufrHTZmf5A9aprjGgA
2018-05-31T23:15:18,solex,Bm97gSReLQ62t16QIE7-erg,WSeQJoU4wRRaRrPA2QDo9Mw,WKrKrWwk9SrOr5UwoP0_WRQ
2018-05-31T23:15:35,solex,B8D68BGNHRgmwDTcKV3JKeA,WeawWOjjYT0W67WEfAXau2g,W08U7fcMHRoedkvO76BovOA
2018-05-31T23:15:35,solex,B8D68BGNHRgmwDTcKV3JKeA,WeawWOjjYT0W67WEfAXau2g,WPumJ1w7KSHSLI3yCtf4Gsg
2018-05-31T23:15:35,solex,B8D68BGNHRgmwDTcKV3JKeA,WeawWOjjYT0W67WEfAXau2g,WoswOCU01TbiRlVNlPhPAfw
2018-05-31T23:15:35,solex,B8D68BGNHRgmwDTcKV3JKeA,WeawWOjjYT0W67WEfAXau2g,W8No46173R_a5vChY5FnHSg
2018-05-31T23:16:06,solex,BigcI0NozQFiNdXZC6AQEhA,WmNZdLIioQ6GFKUms4sa5vQ,WRlTYz5z4QGW8t5fCn2H7oA
2018-05-31T23:16:06,solex,BigcI0NozQFiNdXZC6AQEhA,WmNZdLIioQ6GFKUms4sa5vQ,Wc2oQvDTyR_aFpFsVAiCvvw
2018-05-31T23:16:06,solex,BigcI0NozQFiNdXZC6AQEhA,WmNZdLIioQ6GFKUms4sa5vQ,WQJd1lZKxTuujB8e1o0qsmA
2018-05-31T23:16:06,solex,BigcI0NozQFiNdXZC6AQEhA,WmNZdLIioQ6GFKUms4sa5vQ,WxlpZ8NiNTDeFql86kRkaKQ
2018-05-31T23:16:15,solex,BnI1BYstHQliwxC91qdBXCg,WkZ7RiLTqQYamreXK5XfwhQ,WVcVC5e19SfCx794c6nv9aQ
2018-05-31T23:16:15,solex,BnI1BYstHQliwxC91qdBXCg,WkZ7RiLTqQYamreXK5XfwhQ,WhIqBcBLtQqeEEEG-zkGkMw
2018-05-31T23:16:15,solex,BnI1BYstHQliwxC91qdBXCg,WkZ7RiLTqQYamreXK5XfwhQ,WYUyADmjkTMOtMmmYc8sang
2018-05-31T23:16:15,solex,BnI1BYstHQliwxC91qdBXCg,WkZ7RiLTqQYamreXK5XfwhQ,WPJD8QPMKQo2DiGeWLaR31A
2018-05-31T23:16:54,solex,BpjhrHO8uRWOHPgPOmkl59g,Wt82s84LfSzK9w8M1l0wyvQ,W4UHesWY3RSuyIM3xXeG6UQ
2018-05-31T23:16:54,solex,BpjhrHO8uRWOHPgPOmkl59g,Wt82s84LfSzK9w8M1l0wyvQ,WsobroI-rS42Ci8LdtFJvLg
2018-05-31T23:16:54,solex,BpjhrHO8uRWOHPgPOmkl59g,Wt82s84LfSzK9w8M1l0wyvQ,Wj0kKe4-ESGmWB6xwW0Xr0Q
2018-05-31T23:16:54,solex,BpjhrHO8uRWOHPgPOmkl59g,Wt82s84LfSzK9w8M1l0wyvQ,W0uvfoxMGSRqzTJ8oO9rMQg
